Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100uF,C15008
"C2, C3, C4",0603,3,22uF,C59461
C5,0603,1,150pF,C1594
"C6, C7",0805,2,2.2uF,C377773
C8,0402,1,0.1uF,C1525
D1,D_SMA,1,D_Schottky,C22452
D2,D_SOD-323,1,1N4148WS,C2128
F1,1812,1,Polyfuse_Small,C1884489
"H1, H2, H3, H4",BF@MountingHole_3.2mm_M3,4,MountingHole,
"H5, H6, H7, H8",BF@MountingHole_2.2mm_M2,4,MountingHole,
J1,BF@M5Stack_MBUS,1,M-BUS,
J2,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,from_12V_Power,
J4,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,PRESSURE_SEN,
J6,GROVE-HW4-2.0-90D,1,I2C,
J7,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,SOLENOID,
L1,L_Sunlord_SWPA3015S,1,10uH,C45403
Q1,SOT-23,1,AO3400A,C20917
R1,0603,1,52.3k,C23198
"R2, R4",0603,2,100k,C25803
"R3, R5, R6, R7",0805,4,10k,C17414
R8,0805,1,1k,C17513
R9,0805,1,12k,C17444
U1,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0,1,MP1584EN-LF-Z,C15051
U2,TSSOP-10_3x3mm_P0.5mm,1,ADS1015IDGS,C193969
